Region,Name,Airports
Africa,Zimbabwe,196
Africa,Zambia,88
Middle East,Yemen,57
Middle East,West Bank,2
Australia and Oceania,Wallis and Futuna,2
Australia and Oceania,Wake Island,1
Central America and the Caribbean,Virgin Islands,2
East and Southeast Asia,Vietnam,45
South America,Venezuela,444
Australia and Oceania,Vanuatu,31
Central Asia,Uzbekistan,53
South America,Uruguay,133
North America,United States,13513
Europe,United Kingdom,460
Middle East,United Arab Emirates,43
Europe,Ukraine,215
Africa,Uganda,47
Australia and Oceania,Tuvalu,1
Central America and the Caribbean,Turks and Caicos Islands,8
Central Asia,Turkmenistan,26
Middle East,Turkey,98
Africa,Tunisia,29
Central America and the Caribbean,Trinidad and Tobago,4
Australia and Oceania,Tonga,6
Africa,Togo,8
East and Southeast Asia,Timor-Leste,6
East and Southeast Asia,Thailand,101
Africa,Tanzania,166
Central Asia,Tajikistan,24
East and Southeast Asia,Taiwan,37
Middle East,Syria,90
Europe,Switzerland,63
Europe,Sweden,231
Europe,Svalbard,4
South America,Suriname,55
Africa,Sudan,67
South Asia,Sri Lanka,18
East and Southeast Asia,Spratly Islands,8
Europe,Spain,135
Africa,South Sudan,89
East and Southeast Asia,South Korea,111
Africa,South Africa,407
Africa,Somalia,52
Australia and Oceania,Solomon Islands,36
Europe,Slovenia,16
Europe,Slovakia,35
Central America and the Caribbean,Sint Maarten,1
East and Southeast Asia,Singapore,9
Africa,Sierra Leone,8
Africa,Seychelles,14
Europe,Serbia,26
Africa,Senegal,20
Middle East,Saudi Arabia,214
Africa,Sao Tome and Principe,2
Australia and Oceania,Samoa,4
Central America and the Caribbean,Saint Vincent and the Grenadines,6
North America,Saint Pierre and Miquelon,2
Central America and the Caribbean,Saint Martin,1
Central America and the Caribbean,Saint Lucia,2
Central America and the Caribbean,Saint Kitts and Nevis,2
Africa,"Saint Helena, Ascension, and Tristan da Cunha",2
Central America and the Caribbean,Saint Barthelemy,1
Africa,Rwanda,7
Central Asia,Russia,1218
Europe,Romania,45
Africa,Republic Of The Congo,27
Middle East,Qatar,6
Central America and the Caribbean,Puerto Rico,29
Europe,Portugal,64
Europe,Poland,126
East and Southeast Asia,Philippines,247
South America,Peru,191
South America,Paraguay,799
East and Southeast Asia,Paracel Islands,1
East and Southeast Asia,Papua New Guinea,561
Central America and the Caribbean,Panama,117
Australia and Oceania,Palau,3
South Asia,Pakistan,151
Middle East,Oman,132
Europe,Norway,95
Australia and Oceania,Northern Mariana Islands,5
Europe,North Macedonia,10
East and Southeast Asia,North Korea,82
