Number,Region,Volcano Name,Latitude (volcano!db),Longitude (volcano!db)
1900-081,Antarctica,Montagu Island,-58.417,-26.333
1900-041,Antarctica,Paulet,-63.58,-55.77
1900-031,Antarctica,Penguin Island,-62.1,-57.93
1900-029,Antarctica,Peter I Island,-68.85,-90.58
1900-028,Antarctica,Hudson Mountains,-74.33,-99.42
1900-027,Antarctica,Takahe,-76.28,-112.08
1900-026,Antarctica,Toney Mountain,-75.8,-115.83
1900-025,Antarctica,Siple,-73.43,-126.67
1900-024,Antarctica,Waesche,-77.17,-126.88
1900-023,Antarctica,Andrus,-75.8,-132.33
1900-022,Antarctica,Berlin,-76.05,-136
1900-021,Antarctica,Royal Society Range,-78.25,163.6
1900-020,Antarctica,"Morning, Mt.",-78.5,163.533
1900-016,Antarctica,Unnamed,-76.83,163
1900-015,Antarctica,Melbourne,-74.35,164.7
1900-014,Antarctica,Unnamed,-73.45,164.58
1900-013,Antarctica,"Pleiades, The",-72.67,165.5
1900-012,Antarctica,Sturge Island,-67.4,164.83
1900-011,Antarctica,Young Island,-66.42,162.45
1900-14-,Antarctica,Protector Shoal,-55.92,-28.08
1900-13=,Antarctica,Zavodovski,-56.3,-27.57
1900-12=,Antarctica,Leskov Island,-56.67,-28.13
1900-11=,Antarctica,Hodson,-56.7,-27.15
1900-10=,Antarctica,Candlemas Island,-57.08,-26.67
1900-09=,Antarctica,Michael,-57.78,-26.45
1900-08=,Antarctica,Bristol Island,-59.03,-26.58
1900-07=,Antarctica,Thule Islands,-59.45,-27.37
1900-06=,Antarctica,Lindenberg Island,-65.03,-60.05
1900-05=,Antarctica,Seal Nunataks Group,-65.03,-60.05
1900-04=,Antarctica,Bridgeman Island,-62.05,-56.75
1900-03=,Antarctica,Deception Island,-62.97,-60.65
1900-02=,Antarctica,Erebus,-77.53,167.17
1900-01=,Antarctica,Buckle Island,-66.8,163.25
1806-011,Atlantic-S,Nightingale Island,-37.417,-12.483
1806-03-,Atlantic-S,Thompson Island,-53.93,5.5
1806-02-,Atlantic-S,Bouvet,-54.42,3.35
1806-01=,Atlantic-S,Tristan da Cunha,-37.092,-12.28
1805-051,Atlantic-S,Trindade,-20.514,-29.331
1805-05-,Atlantic-S,Ascension,-7.95,-14.37
1805-04=,Atlantic-C,Unnamed,-3.5,-24.5
1805-03=,Atlantic-C,Unnamed,-0.58,-15.83
1805-02=,Atlantic-C,Unnamed,4.2,-21.45
1805-01=,Atlantic-C,Unnamed,7,-21.83
1804-03-,Cape Verde Is,Santo Antao,17.07,-25.17
1804-02-,Cape Verde Is,Brava,14.85,-24.72
1804-01=,Cape Verde Is,Fogo,14.95,-24.35
1803-06-,Canary Is,Lanzarote,29.03,-13.63
1803-05-,Canary Is,Fuerteventura,28.358,-14.02
1803-04-,Canary Is,Gran Canaria,28,-15.58
1803-03-,Canary Is,Tenerife,28.271,-16.641
1803-02-,Canary Is,Hierro,27.73,-18.03
1803-01-,Canary Is,La Palma,28.58,-17.83
1802-081,Azores,Unnamed,37.78,-25.67
1802-002,Azores,Corvo,39.67,-31.07
1802-001,Azores,Flores,39.4,-31.17
1802-12-,Azores,Madeira,32.733,-16.967
1802-11=,Azores,Monaco Bank,37.6,-25.88
1802-10=,Azores,Furnas,37.77,-25.32
1802-09=,Azores,Agua de Pau,37.77,-25.47
1802-08=,Azores,Sete Cidades,37.87,-25.78
1802-07=,Azores,Don Joao de Castro Bank,38.23,-26.63
1802-05=,Azores,Terceira,38.73,-27.32
1802-04=,Azores,Graciosa,39.02,-27.97
1802-03=,Azores,San Jorge,38.65,-28.08
1802-02=,Azores,Pico,38.47,-28.4
1802-01=,Azores,Fayal,38.6,-28.73
1801-04=,Atlantic-N,Unnamed,38.75,-38.08
1801-03=,Atlantic-N,Unnamed,39.95,-25.83
1801-02=,Atlantic-N,Unnamed,49,-34.5
1801-01=,Atlantic-N,Unnamed,66,-27.75
1707-02-,Arctic Ocean,Unnamed,85.583,85
1707-01-,Arctic Ocean,Unnamed,88.27,-65.6
1706-01=,Atlantic-N-Jan Mayen,Jan Mayen,71.08,-8.17
1705-01=,Iceland-N of,Kolbeinsey Ridge,66.67,-18.5
1704-02=,Iceland-SE,Esjufjoll,64.27,-16.65
1704-01=,Iceland-SE,Oraefajokull,64,-16.65
