Iso Code,Name,AirportsPerMillion,AirPortsPerMillionCategory,Latitude,Longitude
ZWE,Zimbabwe,11.70954381,4,-19.098,30.047
ZMB,Zambia,4.254111212,2,-15.13,25.268
YEM,Yemen,1.647093656,2,15.569,47.793
WLF,Wallis and Futuna,173.882803,9,-13.2859,-176.2086
VNM,Vietnam,0.454569983,1,21.75,105.373
VEN,Venezuela,15.33398772,5,6.983,-64.588
VUT,Vanuatu,92.31383129,8,-15.339,166.89
UZB,Uzbekistan,1.502597694,2,41.757,63.958
URY,Uruguay,38.85357985,7,-32.948,-56.249
USA,United States,39.7002568,7,40.0792,-98.8164
GBR,United Kingdom,6.786284471,3,52.289,-1.259
ARE,United Arab Emirates,4.510869622,2,23.9299,53.9031
UKR,Ukraine,5.807063058,3,49.364,32.132
UGA,Uganda,0.961965186,1,1.9392,32.7415
TUV,Tuvalu,87.75008775,8,-7.4786,178.6758
TCA,Turks and Caicos Islands,173.6789545,9,21.7779,-71.7592
TKM,Turkmenistan,3.979756509,2,39.584,59.597
TUR,Turkey,1.140735335,2,39.144,34.188
TUN,Tunisia,2.323520971,2,35.594,9.421
TTO,Trinidad and Tobago,2.604863671,2,10.4435,-61.2604
TON,Tonga,55.67257105,8,-21.167,-175.19
TGO,Togo,0.879487364,1,7.7,1.106
THA,Thailand,1.406276829,2,15.688,100.845
TZA,Tanzania,2.446792399,2,-5.651,34.146
TJK,Tajikistan,2.356941044,2,38.367,72.597
TWN,Taiwan,1.546231399,2,23.6091,120.8353
SYR,Syria,3.836114211,2,35.303,38.322
CHE,Switzerland,7.152253192,3,46.7794,8.0329
SWE,Sweden,21.74090023,6,66.2188,19
SUR,Suriname,88.0646747,8,4.248,-55.848
SDN,Sudan,1.385268697,2,15.739,29.533
LKA,Sri Lanka,0.821718082,1,7.3,80.727
ESP,Spain,2.841477506,2,40.617,-3.388
SSD,South Sudan,7.998822286,3,7.1,30.48
KOR,South Korea,2.143840909,2,36.338,128.16
ZAF,South Africa,6.724231041,3,-31.7,23.441
SOM,Somalia,2.848034155,2,2.875,43.446
SLB,Solomon Islands,48.40752683,8,-9.5987,160.1487
SVN,Slovenia,7.548326984,3,46.037,14.534
SVK,Slovakia,6.062004258,3,48.8595,19.4434
MAF,Sint Maarten,22.61317896,6,18.034,-63.0544
SGP,Singapore,1.494383112,2,1.3389,103.8297
SLE,Sierra Leone,0.906044745,1,8.677,-11.779
SYC,Seychelles,130.0390117,9,-4.6841,55.4924
